actor,total movies
Peter Stormare,5
Yaphet Kotto,5
Bonnie Hunt,5
Chloë Sevigny,5
Robert Forster,5
Britt Robertson,5
Dylan O'Brien,5
Dax Shepard,5
Tom Arnold,5
Alice Eve,5
Kodi Smit-McPhee,5
Geoffrey Lewis,5
Treat Williams,5
Kelly Lynch,5
River Phoenix,5
Rainn Wilson,5
Teri Garr,5
Luke Evans,5
William Holden,5
Elizabeth Taylor,5
Richard Burton,5
Nia Vardalos,5
Michael Biehn,5
Shirley Henderson,5
Mélanie Laurent,5
Jeffrey Wright,5
Adam Scott,5
Meagan Good,5
Bridget Moynahan,5
Peter Weller,5
Amber Valletta,5
James D'Arcy,5
Tye Sheridan,5
Olivia Cooke,5
Imogen Poots,5
Mel Brooks,5
Tony Shalhoub,5
Anthony Edwards,5
Hector Elizondo,5
Jay Hernandez,5
Meg Tilly,5
Mekhi Phifer,5
Adam Garcia,5
Seth Green,5
Patton Oswalt,5
Alden Ehrenreich,5
Tony Goldwyn,5
Patrick Dempsey,5
Michael Stuhlbarg,5
Adam Driver,5
Dolph Lundgren,5
Pat Hingle,5
Stockard Channing,5
Shelley Long,5
Everett McGill,5
John Hannah,5
Frankie Muniz,5
Imelda Staunton,5
Charlotte Gainsbourg,5
Kal Penn,5
Carey Mulligan,5
Steve Coogan,5
Mary Steenburgen,5
Jack Warden,5
Marley Shelton,5
Dominic Cooper,5
Charles S. Dutton,5
Debra Winger,5
Vanessa Williams,5
Lucas Black,5
Christopher McDonald,5
Tom Berenger,5
Brendan Gleeson,5
Tom Holland,5
James Corden,5
Ben Whishaw,5
Armie Hammer,5
Chris Sarandon,5
Dolly Parton,5
Raul Julia,5
Miranda Otto,5
Nathan Lane,5
Alice Braga,5
Claire Forlani,5
Tom Selleck,5
Rupert Everett,5
Sebastian Stan,5
Nastassja Kinski,5
Mandy Patinkin,5
Leslie Nielsen,5
Isaiah Washington,5
Catherine O'Hara,5
Regina King,5
Jake T. Austin,5
Asa Butterfield,5
Benedict Cumberbatch,5
Jonathan Rhys Meyers,5
Christopher Lambert,5
Breckin Meyer,5
Michelle Yeoh,5
David Spade,5
Amber Tamblyn,5
Matthew Perry,5
Orlando Jones,5
John Cena,5
Jay Baruchel,5
T.J. Miller,5
Viola Davis,5
Rob Brown,5
Danny McBride,5
Amy Poehler,5
Ioan Gruffudd,5
Dominic West,5
Martin Freeman,5
